                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.88238,                0.54825,                0.93469,                0.71136,                0.68398,                0.70718,                0.35946,                 1.7274,                 1.0787,                 1.4808,             0.00091835,             0.00091835,             0.00091835
                    137,                0.89679,                0.54987,                0.94676,                0.66583,                0.65361,                0.66251,                0.34871,                 1.7277,                 1.1555,                 1.4821,             0.00091588,             0.00091588,             0.00091588
                    138,                0.87702,                0.53558,                0.94264,                0.67137,                0.65452,                0.66808,                0.33107,                 1.7841,                 1.1462,                 1.4863,              0.0009134,              0.0009134,              0.0009134
                    139,                0.89837,                0.55092,                0.94196,                0.71451,                0.69603,                0.72513,                0.34366,                 1.7056,                 1.1033,                 1.4424,             0.00091092,             0.00091092,             0.00091092
                    140,                0.88903,                0.55767,                0.94928,                0.76939,                0.73659,                0.73791,                0.38066,                 1.6783,                0.97879,                 1.4345,             0.00090845,             0.00090845,             0.00090845
                    141,                0.88553,                0.54691,                0.94228,                 0.7611,                0.78784,                 0.7533,                0.37069,                 1.6827,                0.99651,                 1.4513,             0.00090597,             0.00090597,             0.00090597
                    142,                0.89729,                0.56281,                0.95352,                0.76491,                0.74407,                0.78349,                0.40375,                 1.6645,                0.98087,                 1.4205,              0.0009035,              0.0009035,              0.0009035
                    143,                0.85963,                0.55345,                 0.9455,                0.70912,                0.72013,                0.70497,                0.34994,                 1.6884,                 1.1097,                 1.4789,             0.00090103,             0.00090103,             0.00090103
                    144,                0.87505,                0.53401,                0.93299,                0.77363,                0.63791,                0.70409,                0.35734,                 1.7245,                 1.0439,                 1.4914,             0.00089855,             0.00089855,             0.00089855
                    145,                0.87855,                0.52828,                0.93688,                0.75536,                0.74498,                0.71557,                0.36355,                 1.7503,                 1.0522,                 1.4883,             0.00089607,             0.00089607,             0.00089607
                    146,                0.85991,                0.52853,                0.92944,                0.69346,                0.70239,                0.71884,                0.36959,                 1.6869,                 1.1494,                 1.4607,              0.0008936,              0.0008936,              0.0008936
